id_docente,sede,unidad_academica,tipo_vinculacion,jornada,nivel_aprobado_corte,cursos_realizados_corte,cursos_aprobados_corte,cursos_reprobados_corte,tasa_aprobacion_corte,dias_desde_ultima_actividad,dias_desde_ultimo_avance,actividades_ultimos_90_dias,target_progreso_6m,prediccion_progreso_6m,probabilidad_progreso_6m,riesgo_no_progreso_6m,nombre_docente,carga_asignada,cursos_ultimos_90_dias,cursos_ultimos_180_dias,actividades_realizadas_corte,actividades_ultimos_180_dias,promedio_final_score_corte,promedio_dias_entre_actividades,nivel_riesgo,perfil_actividad,inactividad_90d,tramo_aprobacion,tramo_cursos_aprobados,tramo_actividad
DOC_000001,SANTIAGO,ADMINISTRACIÓN PÚBLICA,REGULAR,CONTRATADO,HABILITANTE,10,9,1,90.0,671,779,0,0,0,0.00016143453303466563,0.9998385654669654,Docente Sintético 000001,5,0,0,16,0,86.2,11.333333333333334,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,7–9,0
DOC_000002,SANTIAGO,ADMINISTRACIÓN PÚBLICA,REGULAR,CONTRATADO,SIN_NIVEL,6,4,2,66.67,438,486,0,0,0,0.00022633385217127292,0.9997736661478288,Docente Sintético 000002,5,0,0,6,0,82.03,8.2,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,4–6,0
DOC_000003,SANTIAGO,ADMINISTRACIÓN PÚBLICA,REGULAR,CONTRATADO,HABILITANTE,10,8,2,80.0,337,466,0,0,0,0.00016143453303466563,0.9998385654669654,Docente Sintético 000003,5,0,0,16,0,83.57,9.933333333333334,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,7–9,0
DOC_000004,SANTIAGO,ADMINISTRACIÓN PÚBLICA,REGULAR,CONTRATADO,INICIAL,17,15,2,88.24,437,584,0,0,0,0.0022722477419078,0.997727752258092,Docente Sintético 000004,5,0,0,44,0,78.64,9.511627906976743,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,10+,0
DOC_000006,SANTIAGO,ADMINISTRACIÓN PÚBLICA,REGULAR,CONTRATADO,SIN_NIVEL,0,0,0,0.0,121,121,0,0,0,0.0002888088803213583,0.9997111911196788,Docente Sintético 000006,5,0,0,0,0,,,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,≤50%,0–3,0
DOC_000007,SANTIAGO,ADMINISTRACIÓN PÚBLICA,REGULAR,CONTRATADO,HABILITANTE,12,11,1,91.67,621,825,0,0,0,0.00012376974960717034,0.9998762302503929,Docente Sintético 000007,5,0,0,24,0,82.32,10.0,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,10+,0
DOC_000008,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,HABILITANTE,9,9,0,100.0,638,672,0,0,0,0.0011077370178778,0.9988922629821222,Docente Sintético 000008,2,0,0,12,0,89.03,5.454545454545454,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,7–9,0
DOC_000010,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,AVANZADO,18,18,0,100.0,0,163,4,0,0,0.3205860252095056,0.6794139747904944,Docente Sintético 000010,2,1,2,48,7,81.51,17.97872340425532,ALTO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,10+,3–5
DOC_000011,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,INICIAL,16,16,0,100.0,13,185,10,1,1,0.7888315932169925,0.2111684067830075,Docente Sintético 000011,2,3,3,40,12,81.82,12.076923076923077,BAJO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,10+,6+
DOC_000012,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,SIN_NIVEL,0,0,0,0.0,0,0,0,0,0,0.0003618999272872301,0.9996381000727128,Docente Sintético 000012,1,0,0,0,0,,,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,≤50%,0–3,0
