variable,importancia
dias_desde_ultima_actividad_imp,0.1577521161823739
actividades_ultimos_90_dias_imp,0.1161573326656886
tasa_aprobacion_corte_imp,0.0762298992146339
actividades_ultimos_180_dias_imp,0.057783348239688
cursos_aprobados_corte_imp,0.0566054211029084
cursos_ultimos_90_dias_imp,0.0561768583114398
dias_desde_ultimo_avance_imp,0.0561000945965929
cursos_reprobados_corte_imp,0.0508396673312847
cursos_realizados_corte_imp,0.0491891050962419
promedio_dias_entre_actividades_imp,0.0444086057022234
actividades_realizadas_corte_imp,0.0371132041661394
cursos_ultimos_180_dias_imp,0.0321828702396408
promedio_final_score_corte_imp,0.0305686624748892
orden_nivel_aprobado_corte_imp,0.0250660103618312
dias_habilitado_al_corte_imp,0.0140918961228554
carga_asignada_imp,0.0117435093459055
nivel_aprobado_corte_ohe_AVANZADO,0.0107968816802094
unidad_academica_ohe_DEPARTAMENTO DE FÍSICA-QUÍMICA,0.0101961321853969
unidad_academica_ohe_FONOAUDIOLOGÍA,0.0060306504404049
nivel_aprobado_corte_ohe_HABILITANTE,0.0058343423224472
sede_ohe_SANTIAGO,0.0054122947391987
unidad_academica_ohe_NUTRICIÓN Y DIETÉTICA,0.004578804363282
nivel_aprobado_corte_ohe_INICIAL,0.0044984847786236
sede_ohe_TEMUCO,0.0044720546758324
unidad_academica_ohe_PERIODISMO,0.0037881504805837
nivel_aprobado_corte_ohe_SIN_NIVEL,0.0035772667447255
tipo_vinculacion_ohe_ADJUNTO,0.0035587321020971
sede_ohe_TALCA,0.0032915766085183
jornada_ohe_POR HORAS,0.0032379167490026
unidad_academica_ohe_KINESIOLOGÍA,0.0031011494872312
tipo_vinculacion_ohe_REGULAR,0.0030785885992494
unidad_academica_ohe_AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,0.0029523790162569
unidad_academica_ohe_INGENIERÍA CIVIL INDUSTRIAL,0.0029280382253557
unidad_academica_ohe_DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,0.0027316230942201
"unidad_academica_ohe_PEDAGOGÍA EN HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",0.00268090791917
unidad_academica_ohe_DERECHO,0.0025794233284438
unidad_academica_ohe_PEDAGOGÍA EN INGLÉS,0.0025552572069988
unidad_academica_ohe_PSICOLOGÍA,0.0024385618903017
unidad_academica_ohe_INGENIERÍA COMERCIAL,0.0021846997811051
unidad_academica_ohe_MEDICINA,0.0020721599513285
sin_promedio_calificacion_imp,0.0020057381260989
jornada_ohe_CONTRATADO,0.0019378409144009
unidad_academica_ohe_DEPARTAMENTO DE MATEMÁTICAS,0.0019295490137891
unidad_academica_ohe_FORMACIÓN GENERAL,0.0019148791596706
unidad_academica_ohe_ADMINISTRACIÓN PÚBLICA,0.0017689895627972
unidad_academica_ohe_OBSTETRICIA Y PUERICULTURA,0.0016741771932916
unidad_academica_ohe_PEDAGOGÍA EN EDUCACIÓN PARVULARIA,0.0016571119242646
habilitado_al_corte_imp,0.001606981260007
unidad_academica_ohe_ODONTOLOGÍA,0.0016015068484923
unidad_academica_ohe_TRABAJO SOCIAL,0.0015798923148505
unidad_academica_ohe_TERAPIA OCUPACIONAL,0.0014587909164985
unidad_academica_ohe_INGENIERÍA CIVIL QUÍMICA,0.0013235063134896
unidad_academica_ohe_PEDAGOGÍA EN EDUCACIÓN BÁSICA MENCIÓN EN EDUCACIÓN MATEMÁTICA,0.0010379991146241
unidad_academica_ohe_ARQUITECTURA,0.0009462862974492264
unidad_academica_ohe_PEDAGOGÍA EN EDUCACIÓN FÍSICA,0.0008505820764169071
unidad_academica_ohe_INGENIERÍA EN CONSTRUCCIÓN,0.0008445017128505118
unidad_academica_ohe_DEPARTAMENTO DE ANÁLISIS DE DATOS,0.0007840175975968581
unidad_academica_ohe_PEDAGOGÍA EN EDUCACIÓN DIFERENCIAL,0.0006482983404314371
unidad_academica_ohe_INGENIERÍA CIVIL INFORMÁTICA,0.0006443411595272029
unidad_academica_ohe_LICENCIATURA EN ARTES VISUALES,0.0006410757932569895
unidad_academica_ohe_QUÍMICA Y FARMACIA,0.000639196932766087
unidad_academica_ohe_PEDAGOGÍA EN LENGUA CASTELLANA Y COMUNICACIÓN,0.0006164106555282114
unidad_academica_ohe_INGENIERÍA EN ADMINISTRACIÓN,0.0005343925949832549
sin_intervalo_actividades_imp,0.0005069120390101294
unidad_academica_ohe_PUBLICIDAD Y COMUNICACIÓN INTEGRAL,0.0001698779076457608
unidad_academica_ohe_ENFERMERÍA,9.2466705939587e-05
tipo_vinculacion_ohe___unknown,0.0
unidad_academica_ohe___unknown,0.0
jornada_ohe___unknown,0.0
nivel_aprobado_corte_ohe___unknown,0.0
sin_actividad_corte_imp,0.0
sede_ohe___unknown,0.0
