id_docente,sede,unidad_academica,tipo_vinculacion,jornada,nivel_aprobado_corte
DOC_000001,SANTIAGO,ADMINISTRACIÓN PÚBLICA,REGULAR,CONTRATADO,HABILITANTE
DOC_000002,SANTIAGO,ADMINISTRACIÓN PÚBLICA,REGULAR,CONTRATADO,SIN_NIVEL
DOC_000003,SANTIAGO,ADMINISTRACIÓN PÚBLICA,REGULAR,CONTRATADO,HABILITANTE
DOC_000004,SANTIAGO,ADMINISTRACIÓN PÚBLICA,REGULAR,CONTRATADO,INICIAL
DOC_000005,SANTIAGO,ADMINISTRACIÓN PÚBLICA,REGULAR,CONTRATADO,EXPERTO
DOC_000006,SANTIAGO,ADMINISTRACIÓN PÚBLICA,REGULAR,CONTRATADO,SIN_NIVEL
DOC_000007,SANTIAGO,ADMINISTRACIÓN PÚBLICA,REGULAR,CONTRATADO,HABILITANTE
DOC_000008,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,HABILITANTE
DOC_000009,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,EXPERTO
DOC_000010,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,AVANZADO
DOC_000011,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,INICIAL
DOC_000012,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000013,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000014,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000015,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000016,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000017,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,AVANZADO
DOC_000018,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,AVANZADO
DOC_000019,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000020,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,INICIAL
DOC_000021,SANTIAGO,ARQUITECTURA,REGULAR,CONTRATADO,AVANZADO
DOC_000022,SANTIAGO,ARQUITECTURA,REGULAR,CONTRATADO,SIN_NIVEL
DOC_000023,SANTIAGO,ARQUITECTURA,REGULAR,CONTRATADO,HABILITANTE
DOC_000024,SANTIAGO,ARQUITECTURA,REGULAR,CONTRATADO,SIN_NIVEL
DOC_000025,SANTIAGO,ARQUITECTURA,REGULAR,CONTRATADO,SIN_NIVEL
DOC_000026,SANTIAGO,ARQUITECTURA,REGULAR,CONTRATADO,HABILITANTE
DOC_000027,SANTIAGO,ARQUITECTURA,REGULAR,CONTRATADO,AVANZADO
DOC_000028,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000029,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,HABILITANTE
DOC_000030,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,AVANZADO
DOC_000031,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,AVANZADO
DOC_000032,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,EXPERTO
DOC_000033,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,HABILITANTE
DOC_000034,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,INICIAL
DOC_000035,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000036,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,HABILITANTE
DOC_000037,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000038,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000039,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,AVANZADO
DOC_000040,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,EXPERTO
DOC_000041,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,REGULAR,CONTRATADO,INICIAL
DOC_000042,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,REGULAR,CONTRATADO,SIN_NIVEL
DOC_000043,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,REGULAR,CONTRATADO,HABILITANTE
DOC_000044,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,REGULAR,CONTRATADO,EXPERTO
DOC_000045,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,REGULAR,CONTRATADO,AVANZADO
DOC_000046,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,REGULAR,CONTRATADO,SIN_NIVEL
DOC_000047,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,REGULAR,CONTRATADO,HABILITANTE
DOC_000048,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000049,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,HABILITANTE
DOC_000050,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000051,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000052,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,HABILITANTE
DOC_000053,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,AVANZADO
DOC_000054,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,AVANZADO
DOC_000055,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,AVANZADO
DOC_000056,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,INICIAL
DOC_000057,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,AVANZADO
DOC_000058,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,EXPERTO
DOC_000059,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000060,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,HABILITANTE
DOC_000061,SANTIAGO,DEPARTAMENTO DE ANÁLISIS DE DATOS,REGULAR,CONTRATADO,SIN_NIVEL
DOC_000062,SANTIAGO,DEPARTAMENTO DE ANÁLISIS DE DATOS,ADJUNTO,POR HORAS,INICIAL
DOC_000063,SANTIAGO,DEPARTAMENTO DE ANÁLISIS DE DATOS,ADJUNTO,POR HORAS,AVANZADO
DOC_000064,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,SIN_NIVEL
DOC_000065,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,AVANZADO
DOC_000066,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,AVANZADO
DOC_000067,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,SIN_NIVEL
DOC_000068,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,AVANZADO
DOC_000069,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,EXPERTO
DOC_000070,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,INICIAL
DOC_000071,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,SIN_NIVEL
DOC_000072,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,HABILITANTE
DOC_000073,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,INICIAL
DOC_000074,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,AVANZADO
DOC_000075,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,HABILITANTE
DOC_000076,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,AVANZADO
DOC_000077,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,HABILITANTE
DOC_000078,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,AVANZADO
DOC_000079,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,HABILITANTE
DOC_000080,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,HABILITANTE
DOC_000081,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,SIN_NIVEL
DOC_000082,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,AVANZADO
DOC_000083,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,HABILITANTE
DOC_000084,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,SIN_NIVEL
DOC_000085,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,AVANZADO
DOC_000086,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,HABILITANTE
DOC_000087,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,AVANZADO
DOC_000088,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,INICIAL
DOC_000089,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000090,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000091,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,HABILITANTE
DOC_000092,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000093,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000094,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,INICIAL
DOC_000095,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000096,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,HABILITANTE
DOC_000097,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,AVANZADO
DOC_000098,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,HABILITANTE
DOC_000099,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,HABILITANTE
DOC_000100,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,HABILITANTE
DOC_000101,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000102,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,HABILITANTE
DOC_000103,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000104,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,EXPERTO
DOC_000105,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000106,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000107,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000108,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,HABILITANTE
DOC_000109,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,AVANZADO
DOC_000110,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,HABILITANTE
DOC_000111,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,AVANZADO
DOC_000112,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,SIN_NIVEL
DOC_000113,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,AVANZADO
DOC_000114,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,ADJUNTO,POR HORAS,HABILITANTE
