mes,nivel,cursos_finalizados
2023-03-01,HABILITANTE,2383
2023-04-01,HABILITANTE,1162
2023-05-01,HABILITANTE,341
2023-06-01,HABILITANTE,168
2023-06-01,INICIAL,72
2023-07-01,HABILITANTE,92
2023-07-01,INICIAL,253
2023-08-01,HABILITANTE,1945
2023-08-01,INICIAL,236
2023-09-01,HABILITANTE,810
2023-09-01,INICIAL,248
2023-10-01,HABILITANTE,176
2023-10-01,INICIAL,437
2023-11-01,HABILITANTE,62
2023-11-01,INICIAL,396
2023-12-01,AVANZADO,32
2023-12-01,HABILITANTE,26
2023-12-01,INICIAL,343
2024-01-01,AVANZADO,74
2024-01-01,HABILITANTE,3
2024-01-01,INICIAL,343
2024-02-01,AVANZADO,62
2024-02-01,INICIAL,283
2024-03-01,AVANZADO,97
2024-03-01,HABILITANTE,714
2024-03-01,INICIAL,287
2024-04-01,AVANZADO,148
2024-04-01,HABILITANTE,503
2024-04-01,INICIAL,223
2024-05-01,AVANZADO,87
2024-05-01,HABILITANTE,98
2024-05-01,INICIAL,192
2024-06-01,AVANZADO,103
2024-06-01,EXPERTO,28
2024-06-01,HABILITANTE,39
2024-06-01,INICIAL,166
2024-07-01,AVANZADO,210
2024-07-01,EXPERTO,54
2024-07-01,HABILITANTE,24
2024-07-01,INICIAL,171
2024-08-01,AVANZADO,154
2024-08-01,EXPERTO,41
2024-08-01,HABILITANTE,436
2024-08-01,INICIAL,140
2024-09-01,AVANZADO,124
2024-09-01,EXPERTO,49
2024-09-01,HABILITANTE,150
2024-09-01,INICIAL,127
2024-10-01,AVANZADO,220
2024-10-01,EXPERTO,89
2024-10-01,HABILITANTE,67
2024-10-01,INICIAL,100
2024-11-01,AVANZADO,162
2024-11-01,EXPERTO,51
2024-11-01,HABILITANTE,37
2024-11-01,INICIAL,93
2024-12-01,AVANZADO,99
2024-12-01,EXPERTO,60
2024-12-01,HABILITANTE,20
2024-12-01,INICIAL,67
2025-01-01,AVANZADO,157
2025-01-01,EXPERTO,106
2025-01-01,HABILITANTE,4
2025-01-01,INICIAL,49
2025-02-01,AVANZADO,110
2025-02-01,EXPERTO,72
2025-02-01,INICIAL,38
2025-03-01,AVANZADO,77
2025-03-01,EXPERTO,69
2025-03-01,HABILITANTE,355
2025-03-01,INICIAL,35
2025-04-01,AVANZADO,90
2025-04-01,EXPERTO,123
2025-04-01,HABILITANTE,127
2025-04-01,INICIAL,23
2025-05-01,AVANZADO,79
2025-05-01,EXPERTO,78
2025-05-01,HABILITANTE,41
2025-05-01,INICIAL,18
2025-06-01,AVANZADO,39
2025-06-01,EXPERTO,59
2025-06-01,HABILITANTE,26
2025-06-01,INICIAL,11
2025-07-01,AVANZADO,42
2025-07-01,EXPERTO,119
2025-07-01,HABILITANTE,13
2025-07-01,INICIAL,25
2025-08-01,AVANZADO,31
2025-08-01,EXPERTO,86
2025-08-01,HABILITANTE,289
2025-08-01,INICIAL,12
2025-09-01,AVANZADO,9
2025-09-01,EXPERTO,61
2025-09-01,HABILITANTE,92
2025-09-01,INICIAL,13
2025-10-01,AVANZADO,16
2025-10-01,EXPERTO,90
2025-10-01,HABILITANTE,41
2025-10-01,INICIAL,18
2025-11-01,AVANZADO,15
2025-11-01,EXPERTO,48
2025-11-01,HABILITANTE,22
2025-11-01,INICIAL,9
2025-12-01,AVANZADO,5
2025-12-01,EXPERTO,36
2025-12-01,HABILITANTE,2
2025-12-01,INICIAL,4
